"FIPSCODE","PSTATABB","CNTYNAME","Category"
"01015","AL","Calhoun","Contains solar/wind"
"01017","AL","Chambers","Contains solar/wind"
"01019","AL","Cherokee","Other plant"
"01021","AL","Chilton","Other plant"
"01023","AL","Choctaw","Other plant"
"01025","AL","Clarke","Other plant"
"01033","AL","Colbert","Contains solar/wind"
"01037","AL","Coosa","Other plant"
"01039","AL","Covington","Contains FF and solar/wind "
"01045","AL","Dale","Contains solar/wind"
"01047","AL","Dallas","Contains FF"
"01051","AL","Elmore","Other plant"
"01053","AL","Escambia","Other plant"
"01063","AL","Greene","Contains FF"
"01065","AL","Hale","Other plant"
"01069","AL","Houston","Other plant"
"01073","AL","Jefferson","Contains FF"
"01077","AL","Lauderdale","Contains solar/wind"
"01079","AL","Lawrence","Other plant"
"01081","AL","Lee","Contains FF"
"01083","AL","Limestone","Contains solar/wind"
"01085","AL","Lowndes","Contains FF"
"01089","AL","Madison","Contains solar/wind"
"01091","AL","Marengo","Other plant"
"01095","AL","Marshall","Other plant"
"01097","AL","Mobile","Contains FF"
"01099","AL","Monroe","Other plant"
"01101","AL","Montgomery","Contains solar/wind"
"01103","AL","Morgan","Contains FF"
"01111","AL","Randolph","Other plant"
"01113","AL","Russell","Other plant"
"01117","AL","Shelby","Contains FF"
"01121","AL","Talladega","Contains FF"
"01123","AL","Tallapoosa","Contains FF"
"01125","AL","Tuscaloosa","Other plant"
"01127","AL","Walker","Other plant"
"01129","AL","Washington","Contains FF"
"01131","AL","Wilcox","Other plant"
"05001","AR","Arkansas","Contains solar/wind"
"05003","AR","Ashley","Contains FF and solar/wind "
"05005","AR","Baxter","Other plant"
"05007","AR","Benton","Contains FF"
"05013","AR","Calhoun","Contains solar/wind"
"05015","AR","Carroll","Contains solar/wind"
"05017","AR","Chicot","Contains solar/wind"
"05019","AR","Clark","Other plant"
"05021","AR","Clay","Contains solar/wind"
"05023","AR","Cleburne","Other plant"
"05029","AR","Conway","Other plant"
"05031","AR","Craighead","Contains FF and solar/wind "
"05033","AR","Crawford","Other plant"
"05041","AR","Desha","Other plant"
"05047","AR","Franklin","Contains FF and solar/wind "
